KRA submission ID,Experiment ID,Experiment Access type,Run ID,Library Layout,file path,KBQC 여부,검증파일명 목록
KRA2462478,KAE24063531,Public,KAR24063531,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567271/126_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567271/126_2.fq.gz,완료,"126_1.fq.gz,126_2.fq.gz"
KRA2462478,KAE24063530,Public,KAR24063530,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567270/125_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567270/125_2.fq.gz,완료,"125_1.fq.gz,125_2.fq.gz"
KRA2462478,KAE24063529,Public,KAR24063529,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567269/124_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567269/124_2.fq.gz,완료,"124_1.fq.gz,124_2.fq.gz"
KRA2462478,KAE24063528,Public,KAR24063528,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567268/228_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567268/228_2.fq.gz,완료,"228_1.fq.gz,228_2.fq.gz"
KRA2462478,KAE24063527,Public,KAR24063527,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567267/227_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567267/227_2.fq.gz,완료,"227_1.fq.gz,227_2.fq.gz"
KRA2462478,KAE24063526,Public,KAR24063526,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567266/226_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567266/226_2.fq.gz,완료,"226_1.fq.gz,226_2.fq.gz"
KRA2462478,KAE24063525,Public,KAR24063525,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567265/225_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567265/225_2.fq.gz,완료,"225_1.fq.gz,225_2.fq.gz"
KRA2462478,KAE24063524,Public,KAR24063524,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567264/224_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567264/224_2.fq.gz,완료,"224_1.fq.gz,224_2.fq.gz"
KRA2462478,KAE24063523,Public,KAR24063523,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567263/223_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567263/223_2.fq.gz,완료,"223_1.fq.gz,223_2.fq.gz"
KRA2462478,KAE24063522,Public,KAR24063522,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567262/222_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567262/222_2.fq.gz,완료,"222_1.fq.gz,222_2.fq.gz"
